Date,Product,Region,Quantity,Unit_Price,Sales,Profit
2026-01-01 00:00:00.000000000,Keyboard,South,2,2500,5000,985.22
2026-01-02 12:18:09.075630252,Mouse,North,3,500,1500,134.84
2026-01-04 00:36:18.151260504,Headphones,West,1,4000,4000,942.35
2026-01-05 12:54:27.226890756,Mouse,East,5,2500,12500,1940.0
2026-01-07 01:12:36.302521008,Mouse,East,1,4000,4000,483.06
2026-01-08 13:30:45.378151260,Mobile,South,8,1200,9600,921.2
2026-01-10 01:48:54.453781512,Headphones,West,1,2500,2500,277.72
2026-01-11 14:07:03.529411764,Headphones,North,1,1200,1200,286.66
2026-01-13 02:25:12.605042016,Headphones,East,2,500,1000,188.51
2026-01-14 14:43:21.680672268,Mouse,West,2,500,1000,167.84
2026-01-16 03:01:30.756302521,Keyboard,West,6,2500,15000,2875.63
2026-01-17 15:19:39.831932773,Headphones,South,7,2500,17500,2696.13
2026-01-19 03:37:48.907563025,Monitor,East,5,6000,30000,6123.2
2026-01-20 15:55:57.983193277,Mouse,East,1,4000,4000,352.45
2026-01-22 04:14:07.058823529,Mobile,North,1,6000,6000,1057.36
2026-01-23 16:32:16.134453781,Keyboard,East,3,4000,12000,1283.64
2026-01-25 04:50:25.210084033,Monitor,North,2,6000,12000,1205.14
2026-01-26 17:08:34.285714285,Monitor,East,5,1200,6000,828.72
2026-01-28 05:26:43.361344537,Mobile,South,10,2500,25000,2390.15
2026-01-29 17:44:52.436974790,Keyboard,East,6,500,3000,288.02
2026-01-31 06:03:01.512605042,Mouse,North,7,4000,28000,3722.33
2026-02-01 18:21:10.588235294,Laptop,North,4,4000,16000,3944.27
2026-02-03 06:39:19.663865546,Keyboard,South,7,500,3500,384.32
2026-02-04 18:57:28.739495798,Mobile,East,8,6000,48000,3980.03
2026-02-06 07:15:37.815126050,Monitor,East,1,4000,4000,839.09
2026-02-07 19:33:46.890756302,Mouse,South,6,1200,7200,1563.66
2026-02-09 07:51:55.966386554,Keyboard,East,8,2500,20000,2777.43
2026-02-10 20:10:05.042016806,Laptop,East,5,500,2500,397.49
2026-02-12 08:28:14.117647058,Laptop,North,4,2500,10000,1904.62
2026-02-13 20:46:23.193277310,Headphones,East,2,4000,8000,705.36
2026-02-15 09:04:32.268907563,Headphones,East,6,4000,24000,5792.51
2026-02-16 21:22:41.344537815,Mobile,South,6,500,3000,692.21
2026-02-18 09:40:50.420168067,Keyboard,South,1,1200,1200,149.22
2026-02-19 21:58:59.495798319,Keyboard,West,9,800,7200,594.73
2026-02-21 10:17:08.571428571,Monitor,North,6,500,3000,716.05
2026-02-22 22:35:17.647058823,Monitor,East,3,800,2400,396.42
2026-02-24 10:53:26.722689075,Monitor,East,4,6000,24000,4120.66
2026-02-25 23:11:35.798319327,Headphones,West,4,800,3200,628.08
2026-02-27 11:29:44.873949580,Keyboard,East,3,1200,3600,664.9
2026-02-28 23:47:53.949579832,Keyboard,North,10,6000,60000,14427.69
2026-03-02 12:06:03.025210084,Laptop,West,3,800,2400,577.25
2026-03-04 00:24:12.100840336,Headphones,North,3,6000,18000,4093.63
2026-03-05 12:42:21.176470588,Mouse,West,4,800,3200,602.2
2026-03-07 01:00:30.252100840,Headphones,West,7,1200,8400,1815.76
2026-03-08 13:18:39.327731092,Mouse,South,4,800,3200,624.38
2026-03-10 01:36:48.403361344,Laptop,North,9,800,7200,1277.8
2026-03-11 13:54:57.478991596,Mobile,East,1,800,800,81.48
2026-03-13 02:13:06.554621848,Keyboard,East,8,500,4000,871.62
2026-03-14 14:31:15.630252100,Laptop,North,7,500,3500,768.28
2026-03-16 02:49:24.705882353,Keyboard,East,2,500,1000,186.41
2026-03-17 15:07:33.781512605,Monitor,East,8,1200,9600,2106.94
2026-03-19 03:25:42.857142857,Mobile,North,1,6000,6000,1144.51
2026-03-20 15:43:51.932773109,Mobile,West,9,4000,36000,4144.91
2026-03-22 04:02:01.008403361,Laptop,North,9,800,7200,911.33
2026-03-23 16:20:10.084033613,Mobile,West,2,800,1600,186.37
2026-03-25 04:38:19.159663865,Mouse,East,7,1200,8400,1210.73
2026-03-26 16:56:28.235294117,Mobile,East,10,800,8000,692.99
2026-03-28 05:14:37.310924369,Keyboard,East,3,500,1500,277.65
2026-03-29 17:32:46.386554621,Keyboard,South,7,4000,28000,3842.0
2026-03-31 05:50:55.462184874,Keyboard,West,10,2500,25000,4786.82
